cancel,SKEL
support,SPOERT,SPOR
code,KOED
make,TPHAEUBG,PHAEUBG,PHAEBG,PHAUBG,PAEUBG
happiness,HAP/TPHES,HAP/KWREUPBS
rhododendron,ROED/TKEPBD/ROPB
quadruplicate,KWA/TKRAOUP/KAEUT,KWA/TKRAOUP/KAT,KWA/TKRUP/KAEUT,KWA/TKRUP/KAT,KWAU/TKRAOUP/KAEUT,KWAU/TKRAOUP/KAT,KWAU/TKRUP/KAEUT,KWAU/TKRUP/KAT,KWAUD/RAOUP/KAEUT,KWAUD/RAOUP/KAT,KWAUD/RUP/KAEUT,KWAUD/RUP/KAT,KWAD/RAOUP/KAEUT,KWAD/RAOUP/KAT,KWAD/RAOUP/HREUBGT,KWAD/RAOUD/KAT,KWAD/RUP/KAEUT,KWAD/RUP/KAT
stenography,STPHOG/TPEU,STEPB/TKPWRAEF
joy,SKWROEU
{a^},A
lift,HREUFT
canopy,KAPB/PEU
yellow,KWROEUL
although,HR*T
altogether,THROGT,HROGT
as you,AUZ
